codigo_predial,manzent,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
151600051700002,13132011001014,306701,V1313210085,ANTONIO DE PASTRANA,CALLE,2,4,"[-70.5989916890891, -33.40298474974678]","POLYGON((-70.5989916890891 -33.40298474974678, -70.599263554592 -33.40295797772735, -70.59930116471094 -33.403226652207074, -70.59902929838933 -33.40325342433243, -70.5989916890891 -33.40298474974678))"
151600051900014,13132011003028,306668,V1313210074,ALONSO DE MONROY,CALLE,1,4,"[-70.59786784607033, -33.40214437632723]","POLYGON((-70.59786784607033 -33.40214437632723, -70.59815214088461 -33.40212123441372, -70.59818329663942 -33.40239048944432, -70.59789900096206 -33.402413631454145, -70.59786784607033 -33.40214437632723))"
151600051900014,13132011003028,306262,V1313210049,NUEVA COSTANERA,AVENIDA,4,4,"[-70.59815214088461, -33.40212123441372]","POLYGON((-70.59815214088461 -33.40212123441372, -70.59812620153052 -33.401943635513206, -70.59844633576574 -33.401910741182355, -70.59847227575607 -33.402088339997725, -70.59815214088461 -33.40212123441372))"
151600051900014,13132011003028,306251,V1313210049,NUEVA COSTANERA,AVENIDA,4,4,"[-70.59815214088461, -33.40212123441372]","POLYGON((-70.59815214088461 -33.40212123441372, -70.59812620153052 -33.401943635513206, -70.59844633576574 -33.401910741182355, -70.59847227575607 -33.402088339997725, -70.59815214088461 -33.40212123441372))"
151600051900015,13132011003028,306262,V1313210049,NUEVA COSTANERA,AVENIDA,1,4,"[-70.59812715579076, -33.40194290174782]","POLYGON((-70.59812715579076 -33.40194290174782, -70.59810297759185 -33.40177339670994, -70.59842322065803 -33.40174126062158, -70.59844739946493 -33.401910765579615, -70.59812715579076 -33.40194290174782))"
151600051900015,13132011003028,306251,V1313210049,NUEVA COSTANERA,AVENIDA,1,4,"[-70.59812715579076, -33.40194290174782]","POLYGON((-70.59812715579076 -33.40194290174782, -70.59810297759185 -33.40177339670994, -70.59842322065803 -33.40174126062158, -70.59844739946493 -33.401910765579615, -70.59812715579076 -33.40194290174782))"
151600051900016,13132011003028,306262,V1313210049,NUEVA COSTANERA,AVENIDA,2,4,"[-70.59810307188002, -33.401772674023114]","POLYGON((-70.59810307188002 -33.401772674023114, -70.59807434501215 -33.401577885859744, -70.59839443160416 -33.401544676019356, -70.59842315916946 -33.40173946408866, -70.59810307188002 -33.401772674023114))"
151600051900016,13132011003028,306251,V1313210049,NUEVA COSTANERA,AVENIDA,2,4,"[-70.59810307188002, -33.401772674023114]","POLYGON((-70.59810307188002 -33.401772674023114, -70.59807434501215 -33.401577885859744, -70.59839443160416 -33.401544676019356, -70.59842315916946 -33.40173946408866, -70.59810307188002 -33.401772674023114))"
151600051900017,13132011003028,306262,V1313210049,NUEVA COSTANERA,AVENIDA,4,4,"[-70.59807529926898, -33.401577152094795]","POLYGON((-70.59807529926898 -33.401577152094795, -70.59805115083412 -33.40141513192504, -70.59837118525893 -33.40138157424188, -70.59839533427352 -33.40154359433278, -70.59807529926898 -33.401577152094795))"
151600051900017,13132011003028,306251,V1313210049,NUEVA COSTANERA,AVENIDA,4,4,"[-70.59807529926898, -33.401577152094795]","POLYGON((-70.59807529926898 -33.401577152094795, -70.59805115083412 -33.40141513192504, -70.59837118525893 -33.40138157424188, -70.59839533427352 -33.40154359433278, -70.59807529926898 -33.401577152094795))"
