id_combi,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
13132041005030_5100,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,6,6,"[-70.56977708348795, -33.38706817971703]","POLYGON((-70.56977708348795 -33.38706817971703, -70.56998897800013 -33.387173439427265, -70.56982466877817 -33.38740621313514, -70.56961277387579 -33.38730095315877, -70.56977708348795 -33.38706817971703))"
13132041005030_5143,306879,V1313210145,BUENAVENTURA,CALLE,6,8,"[-70.57010699519678, -33.386769569916304]","POLYGON((-70.57010699519678 -33.386769569916304, -70.56988079556986 -33.38666729582377, -70.57003379222907 -33.38642915838288, -70.570259991395 -33.38653143221302, -70.57010699519678 -33.386769569916304))"
13132041005030_5143,306879,V1313210145,BUENAVENTURA,CALLE,7,8,"[-70.57022501239344, -33.38682331975612]","POLYGON((-70.57022501239344 -33.38682331975612, -70.57010699519678 -33.386769569916304, -70.57026085512261 -33.38653182416299, -70.57037887208044 -33.386585573865034, -70.57022501239344 -33.38682331975612))"
13132041005030_5143,306879,V1313210145,BUENAVENTURA,CALLE,8,8,"[-70.57026524552866, -33.386836757210894]","POLYGON((-70.57026524552866 -33.386836757210894, -70.57022501239344 -33.38682331975612, -70.57034429293114 -33.38657198331118, -70.57038452596568 -33.38658542073064, -70.57026524552866 -33.386836757210894))"
13132041005030_5252,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,2,6,"[-70.56954104909464, -33.38695321506516]","POLYGON((-70.56954104909464 -33.38695321506516, -70.56977708348795 -33.38706743319379, -70.5696159534678 -33.387301765616606, -70.56937991862625 -33.387187547197904, -70.56954104909464 -33.38695321506516))"
13132041005030_5252,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,3,6,"[-70.5693184257464, -33.38684496898778]","POLYGON((-70.5693184257464 -33.38684496898778, -70.56954104909464 -33.38695321506516, -70.56937933954623 -33.3871872663054, -70.56915671577752 -33.387079019953326, -70.5693184257464 -33.38684496898778))"
13132041005030_5252,307279,V1313210242,EMBAJADOR DOUSSINAGUE,CALLE,4,6,"[-70.56944270143076, -33.38666878887707]","POLYGON((-70.56944270143076 -33.38666878887707, -70.5693184257464 -33.38684496898778, -70.56904090136207 -33.38670720017476, -70.56916517743348 -33.38653102032767, -70.56944270143076 -33.38666878887707))"
13132041005030_5337,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,6,"[-70.56965012559459, -33.3870047252202]","POLYGON((-70.56965012559459 -33.3870047252202, -70.56977708348795 -33.38706817971703, -70.56961202878534 -33.387300581894536, -70.56948507065995 -33.387237127237455, -70.56965012559459 -33.3870047252202))"
13132041005030_5337,306879,V1313210145,BUENAVENTURA,CALLE,3,6,"[-70.57010699519678, -33.386769569916304]","POLYGON((-70.57010699519678 -33.386769569916304, -70.56988079556986 -33.38666729582377, -70.57003379222907 -33.38642915838288, -70.570259991395 -33.38653143221302, -70.57010699519678 -33.386769569916304))"
13132041005030_5337,306879,V1313210145,BUENAVENTURA,CALLE,4,6,"[-70.57022501239344, -33.38682331975612]","POLYGON((-70.57022501239344 -33.38682331975612, -70.57010699519678 -33.386769569916304, -70.57026085512261 -33.38653182416299, -70.57037887208044 -33.386585573865034, -70.57022501239344 -33.38682331975612))"
13132041005030_5337,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,6,6,"[-70.56977708348795, -33.38706817971703]","POLYGON((-70.56977708348795 -33.38706817971703, -70.56998897800013 -33.387173439427265, -70.56982466877817 -33.38740621313514, -70.56961277387579 -33.38730095315877, -70.56977708348795 -33.38706817971703))"
13132041005030_769,307487,V1313210292,ISLAS GALAPAGOS,CALLE,4,8,"[-70.56956250676676, -33.388714994341655]","POLYGON((-70.56956250676676 -33.388714994341655, -70.56956250676676 -33.3886351178336, -70.56988498827711 -33.38863511741874, -70.5698849885722 -33.388714993918164, -70.56956250676676 -33.388714994341655))"
13132041005030_769,307487,V1313210292,ISLAS GALAPAGOS,CALLE,5,8,"[-70.56947041759058, -33.38884637984014]","POLYGON((-70.56947041759058 -33.38884637984014, -70.56956250676676 -33.388714994341655, -70.5698404967623 -33.388852109921245, -70.56974840787703 -33.388983495615314, -70.56947041759058 -33.38884637984014))"
13132041005030_769,307489,V1313210292,ISLAS GALAPAGOS,CALLE,6,8,"[-70.56939799794718, -33.388953876918436]","POLYGON((-70.56939799794718 -33.388953876918436, -70.56947041759058 -33.38884637984014, -70.56975116814573 -33.38897947909249, -70.56967874875126 -33.38908697632559, -70.56939799794718 -33.388953876918436))"
13132041006001_1468,305811,V1313210017,AVENIDA PADRE HURTADO NORTE,AVENIDA,1,6,"[-70.55016030082268, -33.38530562052863]","POLYGON((-70.55016030082268 -33.38530562052863, -70.55025328406853 -33.38511525303983, -70.55055167617222 -33.385217825656056, -70.55045869348612 -33.38540819334983, -70.55016030082268 -33.38530562052863))"
13132041006001_1468,308322,V1313210475,RINCONADA,CALLE,2,6,"[-70.54987330445809, -33.385192146624696]","POLYGON((-70.54987330445809 -33.385192146624696, -70.55016030082268 -33.38530562052863, -70.5500228222214 -33.38555032920714, -70.54973582520498 -33.38543685500756, -70.54987330445809 -33.385192146624696))"
13132041006001_1468,308322,V1313210475,RINCONADA,CALLE,3,6,"[-70.54974902877373, -33.38514362155478]","POLYGON((-70.54974902877373 -33.38514362155478, -70.54987330445809 -33.385192146624696, -70.54973723082584 -33.385437407306384, -70.54961295485681 -33.385388882109886, -70.54974902877373 -33.38514362155478))"
13132041006001_1977,307910,V1313210358,LOS ACACIOS,CALLE,1,10,"[-70.54780174502892, -33.383198863768044]","POLYGON((-70.54780174502892 -33.383198863768044, -70.54767836341424 -33.383478075429736, -70.5473760070262 -33.38338404002443, -70.54749938949952 -33.38310482863532, -70.54780174502892 -33.383198863768044))"
